Spolka;Sektor;Kurs zamkniecia;Rating;ZScore;Free Float;Potencjal zm. wg sredniej;Wartosc ksiegowa;Wartosc skorygowanych aktywow netto;Wartosc likwidacyjna wg J.Wilcoxa;Wartosc renty wieczystej;Wartosc zyskow dodatkowych;Wartosc metoda berlinska;Wartosc metoda szwajcarska;wg Ceny do wartości ksiegowej;wg Ceny do zysku operacyjnego;wg Ceny do przychodow;wg Wskaznika EV/EBIT;wg Wskaznika EV/Przychody;Wyliczona srednia;Stopa dywidendy za okres;Stopa dywidendy
APATOR;Elektromasz.;25,95;A                        ;6,75;65,3941060490238;-20%;12,66;6,91;3,45;22,4;21,01;17,53;19,15;19,69;25,6;19,07;30,79;21,74;20,63;2015-01-01 - 2015-12-31;0,98%
APLISENS;Elektromasz.;12;AAA                      ;18,82;38,2486828326449;-3%;9,68;9,27;5,51;9,6;11,92;Wycena niemozliwa;Wycena niemozliwa;15,05;11,62;5,49;16,49;8,02;11,68;2014-01-01 - 2014-12-31;2,14%
APLITT;Inne;1,82;AAA                      ;12,82;2,54133405900033;-25%;1,81;1,73;0,91;0,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,05;Wycena niemozliwa;2,74;0,06;2,86;1,36;2014-01-01 - 2014-12-31;8,46%
APSENERGY;Elektromasz.;3,95;AAA                      ;8,19;16,0206310380794;-39%;1,37;1,28;0,66;2,07;2,54;1,71;1,83;2,13;2,71;2,68;3,97;3,93;2,40;2014-01-01 - 2014-12-31;0,94%
ARCTIC;Inne;4;BB+                      ;5,3;33,819347344394;> +250%;10,71;9,96;1,38;10,9;12,66;10,8;10,84;23,13;15,65;90,54;14,43;79,38;14,85;2012-01-01 - 2012-12-31;0,57%
ARCUS;Informatyka;0,84;BBB                      ;6,02;34,4262295081967;> +250%;6,39;4,46;2,67;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;17,98;Wycena niemozliwa;57,27;Wycena niemozliwa;65,82;4,53;2013-01-01 - 2013-12-31;2,14%
ARTERIA;Inne;12,5;BBB+                     ;6,27;32,9689285915044;+168%;19,53;4,73;4,45;27,4;29,88;23,47;24,78;42,19;31,3;70,95;27,59;58,92;33,47;2013-01-01 - 2013-12-31;3,49%
ASSECOBS;Informatyka;13,41;AAA                      ;22,41;33,0946170548479;-14%;7,64;2,22;4,5;9,7;9,67;8,67;9,01;21,51;12,49;10,56;16,02;13,78;11,51;2014-01-01 - 2014-12-31;5,18%
ASSECOPOL;Informatyka;57;AA                       ;7,58;66,681903558834;+135%;97,41;19,08;42,55;64;106,64;Wycena niemozliwa;Wycena niemozliwa;274,17;91,5;194,93;106,94;227,31;133,96;2014-01-01 - 2014-12-31;4,83%
ASSECOSEE;Informatyka;9,01;AAA                      ;10,18;20,55662967368;+8%;13,05;3;6,38;8,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;36,74;11,21;23,19;13,62;27,56;9,72;2014-01-01 - 2014-12-31;4,25%
ASSECOSLO;Informatyka;18,6;AAA                      ;8,38;6,49299625468163;+82%;20,26;7,09;10,5;18,9;22,46;Wycena niemozliwa;Wycena niemozliwa;57,03;20,93;61,99;30,34;78,11;33,83;2014-01-01 - 2014-12-31;9,31%
ASTARTA;Spożywczy;29,99;AAA                      ;8,88;36,212468;+142%;35,16;35,16;5,46;Wycena niemozliwa;73,41;Wycena niemozliwa;Wycena niemozliwa;65,46;109,37;31,15;118,47;12,61;72,43; - ;brak
ATENDE;Informatyka;2,68;B+                       ;4,66;43,8825277057609;+29%;1,79;0,93;-0,13;2,9;4,63;2,34;2,53;5,03;4,27;17,77;5,05;20,75;3,47;2014-01-01 - 2014-12-31;5,84%
ATLANTAPL;Handel hurtowy;7,99;AAA                      ;8,85;32,9479420555544;+55%;11,06;10,83;2,33;15,2;13,12;13,13;13,82;10,78;14,31;12,84;12,3;9,44;12,42;2015-01-01 - 2015-12-31;7,58%
ATLANTIS;Inne;0,62;AAA                      ;105,12;46,29088;> +250%;3,81;3,81;2,02;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,31;0,45;0,53;0,83;0,6;2,92; - ;brak
ATLASEST;Deweloperzy;0,95;D                        ;0,56;0,223655595342413;> +250%;5,78;6,2;-2,53;8,57;Wycena niemozliwa;6,97;7,5;3,95;Wycena niemozliwa;15,59;Wycena niemozliwa;11,73;6,38;2007-01-01 - 2007-12-31;1,64%
ATM;Informatyka;9;B                        ;4,27;28,2636787632971;-60%;6,36;6,27;0,85;0,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;17,89;4,59;8,71;1,96;6,75;3,60;2014-01-01 - 2014-12-31;2,03%
ATMGRUPA;Media;3,85;AA+                      ;7,98;26,971300118624;-20%;2,66;2,54;1,17;2,6;3,25;Wycena niemozliwa;Wycena niemozliwa;3,44;3,63;2,15;2,76;2,41;3,08;2014-01-01 - 2014-12-31;4,16%
ATREM;Inne;4;AA                       ;7,59;18,929794642061;+12%;6,33;6,02;2,62;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;13,67;Wycena niemozliwa;28,24;Wycena niemozliwa;25,66;4,48;2014-01-01 - 2014-12-31;1,29%
AVIAAML;Inne;3,48;AAA                      ;12,97;33,2770642350978;+102%;8,43;8,43;5,6;7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;18,2;7,46;4,13;10,36;6,39;7,02;2014-01-01 - 2014-12-31;5,40%
BALTONA;Handel detaliczny;5,55;B                        ;4,2;19,3218329159921;+75%;1,31;0,52;-1,61;5,4;5,67;3,36;4,04;2,79;13,17;22,09;14,02;30,65;9,70; - ;brak
BBIDEV;Deweloperzy;0,93;BBB+                     ;6,28;70,6628310391418;+63%;2,42;2,18;0,62;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,65;0,26;1,04;Wycena niemozliwa;1,09;1,52; - ;brak
BEDZIN;Energetyka;15,2;B                        ;4,2;43,4752953130954;> +250%;41,78;39,36;-48,2;82,9;77,85;62,34;69,19;39,44;61,38;25,39;Wycena niemozliwa;Wycena niemozliwa;53,77;2011-01-01 - 2011-12-31;6,43%
BENEFIT;Inne;396,6;BBB-                     ;5,78;19,7663886847014;-53%;68,63;35,62;8,75;179,9;127,82;124,26;142,81;148,26;219,65;421,47;199,07;350,55;188,15;2014-01-01 - 2014-12-31;2,05%
BERLING;Handel hurtowy;4,33;AAA                      ;14,26;30,2344930542102;+20%;5,09;4,68;3,7;4,5;5,95;Wycena niemozliwa;Wycena niemozliwa;4,97;3,54;0,72;7,54;3,1;5,18;2014-01-01 - 2014-12-31;4,82%
BEST;Inne;12,21;AA+                      ;7,79;2,74770035514899;+136%;12,53;12,04;0,26;35,9;28,62;24,22;28,11;14,18;36,67;38,72;45,86;21,84;28,86; - ;brak
BETACOM;Informatyka;9,3;BB                       ;5,05;46,460396039604;+79%;9,87;9,1;0,68;7,3;13,31;Wycena niemozliwa;Wycena niemozliwa;27,78;9,29;125,1;20,91;155,61;16,64;2014-01-01 - 2014-12-31;6,27%
BIOTON;Farmaceutyczny;11,7;BBB                      ;6,13;40,5342307970027;+1%;17,24;3,37;6,43;1,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;35,08;8,33;8,38;6,26;6,19;11,84; - ;brak
BOGDANKA;Surowcowy;34,01;BBB-                     ;5,69;34,0003980761807;+35%;74,66;73,98;17,37;68,7;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;24,45;32,92;23,71;43,27;153,48;46,02;2014-01-01 - 2014-12-31;5,31%
BORYSZEW;Metalowy;4,39;BB                       ;5,11;35,0765591666667;-31%;5,84;5,39;0,22;4,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;6,89;7,32;15,54;3,74;14,67;3,03;2014-01-01 - 2014-12-31;1,69%
BOWIM;Handel hurtowy;1,63;B                        ;4,33;27,5550974608969;+110%;3,99;3,91;-1,87;1,8;4,5;Wycena niemozliwa;Wycena niemozliwa;3,89;3,14;11,13;1,18;13,18;3,42; - ;brak
BRASTER;Inne;11,49;AAA                      ;14,18;77,0030846073658;-39%;7,64;7,44;6,42;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;16,5;Wycena niemozliwa;0;Wycena niemozliwa;5,89;7,03; - ;brak
BRIJU;Handel detaliczny;13;AAA                      ;11,7;24,1199613265398;+149%;9,86;9,86;5,3;30,9;17,3;20,38;23,89;21,04;45,9;49,09;56,19;72,31;32,31; - ;brak
BSCDRUK;Inne;33,5;AAA                      ;10,7;20,0370511758533;0%;22;21,76;11,41;32,2;31,49;27,1;28,8;47,53;34,93;42,29;36,95;38,9;33,53;2014-01-01 - 2014-12-31;1,85%
BUDIMEX;Budownictwo;192;B                        ;4,24;35,9259843029196;-46%;20,71;17,69;-17,14;39,75;112,18;30,23;33,4;24,03;82,59;391,67;193,64;221,62;104,11;2014-01-01 - 2014-12-31;3,46%
BUMECH;Elektromasz.;0,6;BBB                      ;6,23;19,5361207646041;> +250%;1,39;1,22;-0,06;9;3,1;5,2;6,46;2,16;9,92;1,37;12,55;0,75;4,90; - ;brak
BYTOM;Lekki;3,21;BB-                      ;4,92;52,1772039553743;-61%;0,48;0,49;0,13;1,44;1;0,96;1,12;0,8;2,12;1,31;1,72;1,39;1,24;2007-04-01 - 2008-03-31;29,70%
BZWBK;Banki;259,6;B+                       ;4,52;25,4378924175731;-16%;207,27;185,56;-178,44;255,4;Wycena niemozliwa;231,33;239,36;177,71;342,42;178,73;416,05;642,32;219,30;2013-01-01 - 2013-12-31;2,75%
CAPITAL;Inne;2,45;AAA                      ;14,03;58,7927004909984;+18%;3,9;3,88;1,89;2,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;4,41;2,23;3,69;3,99;3,89;2,90; - ;brak
CCC;Handel detaliczny;127,2;AAA                      ;8,48;57,8115234375;-54%;26,06;25,85;8,28;108,8;50,12;67,43;81,22;55,62;79,29;32,59;86,93;36,5;58,16;2014-01-01 - 2014-12-31;1,75%
CCENERGY;Handel detaliczny;0,06;AAA                      ;20,15;24,397739789965;> +250%;0,71;0,71;0,45;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,52;Wycena niemozliwa;0;Wycena niemozliwa;Wycena niemozliwa;0,58; - ;brak
CDPROJEKT;Informatyka;21,51;AAA                      ;14,84;47,7182390731964;-8%;4,71;3,77;3,65;29,9;7,7;17,3;21,5;13,25;38,65;15,12;48,12;20,78;19,71; - ;brak
CDRL;Lekki;22;AA                       ;7,33;17,3513314958154;-14%;10,04;9,49;3,08;20,4;19,83;15,22;16,95;16,54;31,12;21,8;21,26;19,27;18,83;2014-01-01 - 2014-12-31;4,38%
CELTIC;Deweloperzy;5;AA+                      ;7,95;18,1258260188455;+167%;12,26;12,25;2,75;18;13,7;15,13;16,09;8,38;23,07;1,79;20,94;Wycena niemozliwa;13,34;2010-01-01 - 2010-12-31;2,14%
CEZ;Energetyka;60,7;BB+                      ;5,58;30,2200001543152;-1%;77,08;71,32;-3,23;55,9;78,92;Wycena niemozliwa;Wycena niemozliwa;72,78;44,12;29,75;41,76;12,11;60,34;2014-01-01 - 2014-12-31;6,34%
CFI;Budownictwo;9;CCC+                     ;3,51;29,4043789097409;> +250%;40,49;-196,56;-386,41;134,4;177,97;87,44;103,1;46,98;129,78;107,36;36,01;Wycena niemozliwa;67,88; - ;brak
CHEMOS;Inne;2,06;BB+                      ;5,64;39,2912766170149;-8%;3,27;2,68;0,5;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;7,06;3,73;18,11;2,31;14,69;1,88;2011-01-01 - 2011-12-31;4,17%
CIECH;Chemiczny;76;BB+                      ;5,41;39,369815610118;-25%;23,76;21,59;-5,48;60,7;56,78;42,23;48,39;44,93;92,33;54,14;89;41,88;57,03;2013-01-01 - 2013-12-31;3,56%
CIGAMES;Informatyka;20,44;AAA                      ;15,29;48,6938877969017;-45%;5,43;2,69;2,77;9,12;7,14;7,27;7,89;15,3;10,25;15,63;12,25;18,52;11,17; - ;brak
CNT;Budownictwo;8,15;AAA                      ;9,24;35,5893179317932;-7%;6,03;6,02;3,89;6,4;8,79;6,22;6,28;6,99;6,72;92,7;13,09;38,29;7,60;2014-01-01 - 2014-12-31;5,58%
COLIAN;Spożywczy;3,4;AA-                      ;7,28;26,9877561366552;-7%;4,31;2,79;2,02;2,2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,03;1,98;2,79;2,9;4,38;3,16;2008-01-01 - 2008-12-31;0,77%
COMARCH;Informatyka;115,85;AAA                      ;8,64;56,7153948514935;+40%;90,48;77,16;38,73;86;103,96;Wycena niemozliwa;Wycena niemozliwa;254,69;122,67;315,37;146,11;370,31;162,32;2013-01-01 - 2013-12-31;1,90%
COMP;Informatyka;49,9;A-                       ;6,64;36,8111996442154;+137%;74,41;8,44;19,87;38,8;81,95;Wycena niemozliwa;Wycena niemozliwa;209,45;77,19;240,4;80,07;269,94;118,46;2014-01-01 - 2014-12-31;1,58%
COMPERIA;Media;7,43;AA+                      ;7,95;50,0318134697258;+6%;10,53;1,33;5,19;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;13,61;Wycena niemozliwa;11,02;Wycena niemozliwa;13,39;7,86; - ;brak
CORMAY;Farmaceutyczny;1,61;B                        ;4,41;77,0380130523602;-17%;1,61;1,58;1,05;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;2,76;Wycena niemozliwa;1,05;Wycena niemozliwa;1,52;1,33; - ;brak
CUBEITG;Informatyka;5,45;CCC+                     ;3,6;63,5837920675972;+152%;5,88;-2,95;-11,03;9,5;15,62;7,24;8;16,55;15,3;40,65;7,96;37,45;13,72; - ;brak
CYFRPLSAT;Media;22;CCC+                     ;3,72;33,5187699769832;-27%;15,73;-7,97;-3,03;15,5;16,48;Wycena niemozliwa;Wycena niemozliwa;20,34;45,87;16,2;15,76;Wycena niemozliwa;16,10;2013-01-01 - 2013-12-31;1,24%
CZTOREBKA;Deweloperzy;0,69;AAA                      ;8,83;6,34372592586688;> +250%;8,5;7,85;4,15;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,81;Wycena niemozliwa;10,18;Wycena niemozliwa;12,96;6,32; - ;brak
DEBICA;Motoryzacyjny;88,49;A-                       ;6,53;18,603814457264;+13%;74,07;74,07;30,69;54,6;87,6;Wycena niemozliwa;Wycena niemozliwa;151;73,21;117,85;87,3;129,09;99,94;2014-01-01 - 2014-12-31;3,94%
DECORA;Mat. budowlanych;7,45;A-                       ;6,54;46,3243896483511;+16%;12,24;9;5,04;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;11,5;5,99;9,69;5,14;9,81;8,64;2013-01-01 - 2013-12-31;5,26%
DEKPOL;Budownictwo;14,4;A                        ;6,73;14,541606871302;+81%;13,64;13,62;1,12;24,8;32,07;19,22;21,08;15,82;27,89;68,57;36,79;22,23;26,10; - ;brak
DELKO;Handel hurtowy;7,79;BBB                      ;6,08;49,980602006689;+87%;9,12;6,96;1,43;13,8;13,96;11,46;12,24;8,89;12,97;23,36;15,35;30,57;14,59;2014-01-01 - 2014-12-31;3,12%
DGA;Inne;4,54;AA+                      ;7,9;51,5373637836322;+122%;12,63;12,22;7,52;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;27,29;Wycena niemozliwa;15,86;Wycena niemozliwa;19,12;10,08;2009-01-01 - 2009-12-31;4,82%
DOMDEV;Deweloperzy;45,6;AAA                      ;8,53;22,359316065804;-49%;32,99;32,85;13,58;17,9;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;22,55;30,41;90,16;31,91;124,09;23,28;2014-01-01 - 2014-12-31;4,43%
DROP;Inne;1,79;A                        ;6,81;23,4819144731763;+72%;5,09;5,09;1,08;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;10,99;Wycena niemozliwa;112,46;Wycena niemozliwa;100,04;3,08;2012-01-01 - 2012-12-31;16,98%
DROZAPOL;Handel hurtowy;1,73;AA-                      ;7,14;52,250451495861;> +250%;8,96;8,95;3,95;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,74;Wycena niemozliwa;6,62;Wycena niemozliwa;9,01;6,46;2007-01-01 - 2007-12-31;7,28%
DTP;Inne;4,08;AAA                      ;13,97;19,5242705941648;+82%;4,23;3,65;2,53;7,9;6,94;6,06;6,68;4,78;7,58;8,97;12,23;8,24;7,44;2015-01-01 - 2015-12-31;1,75%
DUDA;Spożywczy;5,3;BB-                      ;4,78;34,000000503593;+44%;13,03;10,08;2,25;6,1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;24,27;5,46;32,28;2,37;43,84;7,64;2002-01-01 - 2002-12-31;3,82%
DUON;Paliwowy;3,83;AA-                      ;7;47,6311700293583;-60%;2,11;1,77;0,92;1,93;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,87;2,56;2,74;2,82;3,61;1,52;2014-01-01 - 2014-12-31;1,66%
ECHO;Deweloperzy;5,22;BB-                      ;4,79;15,4605435119913;-25%;7,8;7,8;0,01;0,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,33;6,95;4,84;0,22;Wycena niemozliwa;3,90;2015-01-01 - 2015-12-31;19,59%
EDINVEST;Deweloperzy;2,08;AAA                      ;9,76;15,2638863242927;+212%;3,95;3,95;4,24;4,6;5,49;4,28;4,38;2,7;7,47;11,35;8,34;15,72;6,49;2014-01-01 - 2014-12-31;8,63%
EFEKT;Handel hurtowy;17,63;CCC+                     ;3,44;55,006936312044;+10%;17,56;17,18;-13,18;23,8;24,58;20,68;21,72;17,12;38,19;7,07;21,98;Wycena niemozliwa;19,38;2014-01-01 - 2014-12-31;9,97%
EKOEXPORT;Inne;12,5;AAA                      ;8,84;66,0240856296971;-66%;5,89;5,73;2,68;4,48;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;8,61;8,34;3,96;9,92;3,77;4,28;2013-01-01 - 2013-12-31;1,89%
ELBUDOWA;Budownictwo;113;BBB                      ;6,04;34,9125917725305;+6%;80,36;71,62;16,28;115;134,64;97,68;103,45;93,24;112,51;542,99;167,24;208,9;119,69;2013-01-01 - 2013-12-31;2,52%
ELEKTROTI;Budownictwo;15,59;AA+                      ;7,67;49,8609587550207;-21%;8,33;7,52;4;10,8;13,04;9,57;9,98;9,67;10,55;57,28;17,76;24,07;12,35;2014-01-01 - 2014-12-31;4,67%
ELEMENTAL;Inne;3,62;A-                       ;6,44;37,1997775627659;+20%;1,58;0,68;0,55;2,42;2,61;1,94;2,1;2,3;3,94;10,06;5,8;14,22;4,33; - ;brak
ELKOP;Budownictwo;1,21;AAA                      ;11,11;27,2160833333333;-28%;1,17;1,13;0,58;0,48;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;1,34;0,55;0,2;0,87;0,15;0,88; - ;brak
ELZAB;Informatyka;16;BBB                      ;5,94;11,8587969920153;-33%;4,81;4,22;0,7;9,3;8,82;7,06;7,8;13,54;13,03;18,31;13,16;19,31;10,75;2014-01-01 - 2014-12-31;5,31%
EMCINSMED;Inne;14,77;BB-                      ;4,82;1,07965573497297;-51%;10,91;11,03;3,45;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;23,58;Wycena niemozliwa;38,4;Wycena niemozliwa;32,4;7,18; - ;brak
EMPERIA;Handel detaliczny;66,89;BB+                      ;5,58;50,7568728971347;+2%;44,57;40,44;16,04;37,99;50,11;Wycena niemozliwa;Wycena niemozliwa;95,13;57,45;85,31;77,41;133,37;68,30;2014-01-01 - 2014-12-31;1,85%
ENAP;Budownictwo;0,93;AAA                      ;8,79;54,7878322440185;+47%;0,79;0,79;0,48;0,6;1,01;Wycena niemozliwa;Wycena niemozliwa;0,92;0,86;3,88;1,64;1,86;1,37;2014-01-01 - 2014-12-31;4,85%
ENEA;Energetyka;11,47;AA+                      ;7,66;48,4951295296214;+65%;28,77;27,81;9,15;20,8;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;27,16;13,17;11,1;21,81;17,25;18,96;2014-01-01 - 2014-12-31;3,05%
ENELMED;Inne;8,3;BB+                      ;5,45;13,5121420297112;-62%;4,64;4,5;1,74;1;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;10,02;1,14;19,23;1,3;17,34;3,19;2014-01-01 - 2014-12-31;0,83%
ENERGA;Energetyka;13,89;BBB                      ;6,09;48,4802560292195;+32%;21,01;19,76;2,3;21,4;23,24;21,2;21,27;19,84;14,52;13,01;18,13;14,59;18,40;2014-01-01 - 2014-12-31;5,63%
ENERGOINS;Elektromasz.;7,91;BBB-                     ;5,69;27,8855333333333;+68%;8,6;8,53;1,31;9,5;14,02;9,05;9,2;13,37;12,66;35,7;15,63;47,35;13,29;2014-01-01 - 2014-12-31;6,07%
ERBUD;Budownictwo;27,5;BBB                      ;6,03;18,1644287530795;+51%;24,11;22,23;0,25;31,18;38,35;27,6;28,79;27,98;36,35;278,2;58,92;111,11;41,54;2014-01-01 - 2014-12-31;1,56%
ERG;Tworzyw sztucznych;18,64;BB+                      ;5,42;57,3372589770234;+22%;35,85;33,62;9,74;10,6;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;46,81;18,85;70,96;20,1;82,36;22,80; - ;brak
ERGIS;Tworzyw sztucznych;3,87;BB+                      ;5,31;32,5743295039463;+99%;4,95;4,42;0,25;Wycena niemozliwa;5,42;Wycena niemozliwa;Wycena niemozliwa;6,46;10,59;12,46;10,74;12,14;7,69;2014-01-01 - 2014-12-31;2,95%
ESOTIQ;Handel detaliczny;28,49;A-                       ;6,59;35,1082158047907;-41%;24,61;13,36;9,04;5;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;52,53;19,56;29,03;17,65;36,68;16,82; - ;brak
ESSYSTEM;Elektromasz.;2,79;AAA                      ;10,8;16,8231874490725;-5%;3,44;3,43;1,88;2;Wycena niemozliwa;Wycena niemozliwa;Wycena niemozliwa;5,35;2,08;3,48;3,2;5,13;2,66;2014-01-01 - 2014-12-31;10,09%
EUCO;Inne;42;AAA                      ;8,29;29,8536607142857;-39%;7,57;7,57;1,75;22,1;16,62;14,84;17,26;16,36;50,38;31,3;52;28,25;25,78;2014-01-01 - 2014-12-31;4,47%
EUROCASH;Handel detaliczny;56,9;CCC                      ;2,71;93,6708004262261;-57%;7,57;-3,64;-6,61;14,18;23,65;10,87;11,98;16,16;29,23;79,66;36,07;118,89;24,57;2014-01-01 - 2014-12-31;2,13%
